[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:53:42] SmellOfGoal | trade le mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:59:45] kyrosrfl | bura basen mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:00:33] kyrosrfl | farm mı yapcanız | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 19:05:26] 7redstrike | kazman var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:07:47] SmellOfGoal | bana elmas kılıç hediye etcek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:18:21] Faxley | Serkan_3793 pes mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:28:14] Faxley | Serkan_3793 niye | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:33:52] Ahmetenes256924 | reds sende kaç zümrüt var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:34:57] Haliko | bloğun var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:36:14] 7redstrike | ya kim aldı zümrütümü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:39:05] Ahmetenes256924 | bu base kimin senin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:40:45] Faxley | kumul zırh süslemesi nası artılır diyene 1 demirci şablonu kumul zırh süslemesi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:40:52] Faxley | kumul zırh süslemesi nası artılır diyene 1 demirci şablonu kumul zırh süslemesi. | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:42:17] Faxley | kumul zırh süslemesi nası artırılıyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:43:30] Haliko | kaslaların oraya gelcek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 19:51:19] Serkan_3793 | ö bür rehber nerede | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:02:46] Arasayan | ok nasıl istersen kk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:05:39] xWith | trap yapmak yasak değil mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:05:48] xWith | nası değil | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:05:52] xWith | yasaktı ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:14:59] iamjuba71 | ufak bi lag mı var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:16:20] iamjuba71 | yaw niye sabah olmuyo ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:16:24] eymenizmaa33 | neden yattın burda | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:23:13] maceswap | uçarken seni gördüm ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:25:48] Serkan_3793 | örs satan ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:31:50] kastamonulu3437 | nereye atimm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:36:17] Nosstalgia_ | niye vereyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:39:11] siyahipatates | at nerden guvencem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:41:30] Nosstalgia_ | vs gelen var mı beyler | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:41:50] siyahipatates | para nasıl atılıyo | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 20:42:30] eymenizmaa33 | tamammi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:43:32] Nosstalgia_ | vs atan var mı beler | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:45:26] Ramazan6414 | neden msg den yazmıyoreun yav | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:46:08] Yagiz016697 | [event cancelled]ev yapak mı cayanacar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 20:49:05] kayra9806 | mineseft buldum takım olak? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 20:54:06] KadirHB | sende mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:01:15] RaconEmir | nasıl mızrak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:02:42] iamjuba71 | netherda sınır kaç | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:03:39] iamjuba71 | netherda sınıra geldim lan böyle bir şey mi var | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:06:29] RaconEmir | 12.5 stek kitap ne kadar eder | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:07:16] Cemre642298 | kim yaptı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:08:15] AyiBogan064 | sunucuda pvp serbest mi base yağmala | enyakin=kurallar puan=2 sebep=SINYAL_ZAYIF
[2026-09-08 21:14:26] Luccifer1254803 | sansıklqr nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:16:21] RaconEmir | mace yaş kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:20:32] adala7 | nasıl olcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:21:24] Nosstalgia_ | vs atacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:22:13] EnsignSign31409 | beyler sunucuda yeniyimde ben elmas set vb almak istiyorum nasıl aliniyo | enyakin=oyuna-baslama puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:24:11] EnsignSign31409 | '/sor <nasıl elmas eşyalar alabilirim>' | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:24:40] AyiBogan064 | ben sana baltayla mi vurdum amcik | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:27:35] Nosstalgia_ | 2 kez mi vs atmak istion OverLord | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:35:33] Gorkem27 | beni niye kesmeye calision mesela kank | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:40:39] OverLord | kadir noldu neden yapayım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:42:28] OverLord | evi kim dagıttı gordunmu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:43:56] Cemre642298 | eymen beni neden öldürdün ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:45:44] KadirHB | [event cancelled]niye mute | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:47:02] Gorkem27 | oha knk bedava mace nasi versinler | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:51:04] KadirHB | hayır siirtliler fiyat mı düşer | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:51:13] Lamia111 | sen hiç siirtli pazarlığı duymadın mı | enyakin=pazaryeri puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:51:43] Efesss37 | net yok mu nether da | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:55:03] memo1234868 | tp mi kabul | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:56:10] Faxley | Efesss37 ona nası öldün | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 21:56:57] EnsignSign31409 | satmak yerine niye beleş veriyon | enyakin=esya-satma puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:58:40] Ramazan6414 | memo takım olak mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 21:59:31] Nythvander | bura smp mi survivalm | enyakin=orman-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:00:31] eymenizmaa33 | aga pvp serbest değilmi neden küfür ediyon | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:01:17] eymenizmaa33 | nhytvader mi ne o | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:03:40] memo1234868 | nerede ki | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:04:42] EnsignSign31409 | nereye gelim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:05:12] OverLord | cemre kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:08:05] eymenizmaa33 | slash o mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:09:21] MuratRTX | para atabilecek var mı | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:19:39] Faxley | kimler trap yapıyo dedim trap yasak mı diye sormadım | enyakin=kurallar puan=2 sebep=SINYAL_ZAYIF
[2026-09-08 22:20:54] Ramazan6414 | lucifer arkadaş olalım mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:25:46] memo1234868 | over neden bana vuruyorsun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:26:23] Nosstalgia_ | rüzgar topu olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:26:33] Nosstalgia_ | ne kadara satıyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:27:19] Serkan_3793 | kıpıc{mı verrr | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:27:49] OverLord | luci ne zaman kestim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:28:32] OverLord | memo neden kusum | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:29:30] Faxley | lan niye gülüyonuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:32:20] OverLord | elmas mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:34:22] Gamer2025952 | bi set vere bilecek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:37:07] Ayazpro20258803 | arkadaş olcak var mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:37:43] Nosstalgia_ | nası sana geldi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:37:44] Nosstalgia_ | nası sana geldi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:40:45] Ayazpro20258803 | takımımıza katılcak var mı @here | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:41:54] Nosstalgia_ | yatağa mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:42:05] maceswap | kim öldü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:42:07] Nosstalgia_ | e nası öldü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:42:51] Ayazpro20258803 | takımımıza katılcak var mı @here | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:43:51] memo1234868 | kazmam gitti mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:45:27] EnsignSign31409 | 20 tane biftege kaç odun veriyonuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:46:23] maceswap | Serkan_3793 neden sinirli bu kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:46:33] Ayazpro20258803 | bana kit nerden geldi | enyakin=kit puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:47:34] Serkan_3793 | over neden simirlenmiyim 5-6 saattir kasilion ve biri gelio seni kesio sinirlenmez misin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:49:26] Ayazpro20258803 | takımına alcak var mii çok yanlızım :(( | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 22:51:27] EnsignSign31409 | knk bizim base nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:51:32] Serkan_3793 | durduk yere niye kessin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:52:27] Ayazpro20258803 | arkadaş olcak vaf mı çok yanlızım :((((( | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:53:18] OnlyVan | snapimi mi :D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:53:52] Ayazpro20258803 | köylü istiyen var mı 100k ya 5 tane felan köylü veririm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:53:54] OnlyVan | snapchatimi niye istiyorsun :D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:53:55] KadirHB | snapi napcanız st mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:54:40] Nosstalgia_ | bunu kim yazmış | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:55:36] OverLord | memo nereye | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:57:24] BayOrdekk | nası baslıcam yeni girdim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 22:57:30] Ayazpro20258803 | ya 10 tane köylü vaf köyü satın alan yoi mu | enyakin=site-kredi puan=2 sebep=SINYAL_ZAYIF
[2026-09-08 23:00:33] Luccifer1254803 | Ya ben pvp kötüyüm ne istiyorsunuz neden kesmeyin ya lütfen | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 23:02:07] KadirHB | bakabildin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:02:21] Nosstalgia_ | vs gelen var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:04:02] MAZIFIR | barut u olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:04:16] BlackNior_ | ne zaman | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:04:38] Menemen_bambam | nerden bulabiliriz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:10:37] AyiBogan064 | nasıl lobiye döncez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:13:02] AyiBogan064 | rehber lobiye dönme komutu nedir? | enyakin=menu puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 23:13:42] Ayazpro20258803 | arkadaş olcak var mi yoksa çikcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:13:52] Nosstalgia_ | sen 1.8 mi oynuyon olm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:15:26] Nosstalgia_ | kırılmazlık yok mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:19:31] Nythvander | nerde o iki insan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:21:25] Menemen_bambam | kim verdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:22:33] KadirHB | bakabildin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:24:33] Serkan_3793 | yönetici? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:25:07] Nosstalgia_ | vs gelen var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:27:47] Nosstalgia_ | vs atacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:30:35] Serkan_3793 | over nerede | enyakin=- puan=0 sebep=ESLESME_YOK
